SiteId,Latitude,Longitude
1,1.369407172,103.7957192
2,1.379848938,103.8066521
3,1.306391692,103.8556051
4,1.362382124,103.8034363
5,1.299400044,103.8348075
6,1.358836586,103.8540314
7,1.368637795,103.7894651
8,1.320227741,103.8117055
9,1.377125858,103.824361
10,1.320946082,103.8093314
11,1.367436163,103.7996372
12,1.376790041,103.8171441
13,1.311986208,103.8431361
14,1.329268378,103.7882397
15,1.370072516,103.8255148
16,1.307897319,103.7908447
17,1.35019626,103.815646
18,1.371982253,103.81366
19,1.299768684,103.8544244
20,1.338752019,103.850072
21,1.34691798,103.818933
22,1.364136366,103.7973823
23,1.322531188,103.8094175
24,1.365511595,103.7970579
25,1.313151303,103.8068573
26,1.371585443,103.8131809
27,1.351542434,103.8451502
28,1.354072863,103.8361283
29,1.314784043,103.8326972
30,1.336400165,103.824215
31,1.354543063,103.8333058
32,1.331138672,103.7985514
33,1.350107561,103.8042692
34,1.372759344,103.8443352
35,1.304862839,103.7889289
36,1.363653076,103.8210785
37,1.329853875,103.8426346
38,1.308214021,103.8467808
39,1.309482098,103.8202285
40,1.317667494,103.7897528
41,1.382109015,103.7912629
42,1.349575328,103.8580184
43,1.376372148,103.8369574
44,1.355728333,103.8520048
45,1.374807124,103.8092922
46,1.354781261,103.8058572
47,1.347689681,103.8567759
48,1.366120735,103.8245554
49,1.301680717,103.8595071
50,1.327041967,103.7955964
51,1.339844812,103.8179398
52,1.320635948,103.807297
53,1.343604645,103.8202202
54,1.354568188,103.8491154
55,1.3476422,103.8038822
56,1.339656409,103.8568827
57,1.316170559,103.8339041
58,1.370123314,103.8041925
59,1.331739422,103.7874047
60,1.347984111,103.840601
61,1.305596395,103.8576566
62,1.326525782,103.8373667
63,1.32069494,103.855043
64,1.333025594,103.848093
65,1.34465647,103.8463278
66,1.370724418,103.8178781
67,1.34275976,103.817256
68,1.313391978,103.815462
69,1.324259419,103.8088931
70,1.316708147,103.8402341
71,1.344156898,103.7873585
72,1.330628821,103.7956178
73,1.305990648,103.8285836
74,1.324957538,103.8515518
75,1.365884605,103.806672
76,1.384231254,103.8178908
77,1.343579162,103.8119471
78,1.300665746,103.8104112
79,1.331850859,103.7857574
80,1.381103678,103.7971621
81,1.339024144,103.8491859
82,1.378653631,103.8439865
83,1.35678232,103.8240613
84,1.304707698,103.8583855
85,1.347816607,103.7895552
86,1.331681267,103.8402217
87,1.327469906,103.8421343
88,1.346305866,103.8145014
89,1.368769036,103.8333299
90,1.332772912,103.8233549
91,1.31456378,103.8371234
92,1.383488291,103.7874923
93,1.319636334,103.8111409
94,1.308239351,103.791356
95,1.32800195,103.8254306
96,1.318785271,103.839291
97,1.34793767,103.8235287
98,1.341381276,103.8157115
99,1.312761969,103.8419193
100,1.382281696,103.8361681
